OrderID,PayInCurrencyKey,PayoutCurrencyKey,PayoutCountryKey,PayinCountryKey,SenderKey,PayInValue,CommissionExchangeRate,PayOutPartnerCommission,OrderCreated,OrderPaid,OrderCompleted,OrderCancelled
10590865,169,169,239,205,1118658,6600.0,1.0,56.0,2012/03/31 11:34,2012/03/31 00:00,2012/03/31 13:16,1970/01/01 00:00
10592721,169,100,133,205,538361,8115.0,42.70651,2100.0,2012/03/31 14:18,2012/03/31 00:00,2012/04/01 09:03,1970/01/01 00:00
10652419,169,100,133,205,538361,771.0,42.82631,200.0,2012/04/06 07:11,2012/04/06 00:00,2012/04/07 12:52,1970/01/01 00:00
10730296,169,100,133,205,538361,2343.0,42.270691,600.0,2012/04/14 06:40,2012/04/14 00:00,2012/04/14 10:05,1970/01/01 00:00
10754663,169,169,239,205,1137162,5610.0,1.0,34.0,2012/04/17 08:31,1970/01/01 00:00,1970/01/01 00:00,2012/04/17 08:47
10749939,169,100,133,205,1137162,3150.0,41.915042,800.0,2012/04/16 12:49,1970/01/01 00:00,1970/01/01 00:00,2012/04/22 23:06
10620548,169,100,133,205,1137162,771.0,42.756416,200.0,2012/04/03 08:22,2012/04/03 00:00,2012/04/06 11:01,1970/01/01 00:00
10754845,169,169,239,205,1137162,4950.0,1.0,60.0,2012/04/17 08:48,2012/04/17 00:00,2012/04/17 13:18,1970/01/01 00:00
9753485,169,151,239,205,990056,1803.0,0.074509,1.6,2012/01/18 08:23,2012/01/18 00:00,2012/01/21 08:08,1970/01/01 00:00
9785511,169,151,239,205,990056,1362.0,0.07334,0.6,2012/01/21 13:41,2012/01/24 00:00,2012/01/24 12:30,1970/01/01 00:00
9562029,169,100,133,205,990092,1830.0,40.966579,454.0,2011/12/30 13:28,2011/12/31 00:00,2012/01/02 06:42,1970/01/01 00:00
9499090,169,169,239,205,990081,3300.0,1.0,20.0,2011/12/27 09:00,2011/12/28 00:00,2012/01/02 08:07,1970/01/01 00:00
9552014,169,169,239,205,536959,990.0,1.0,6.0,2011/12/30 07:42,2011/12/30 00:00,2011/12/30 11:45,1970/01/01 00:00
9717930,169,151,239,205,536959,876.0,0.076461,0.1,2012/01/13 21:10,2012/01/14 00:00,2012/01/16 08:06,1970/01/01 00:00
9767006,169,151,239,205,536959,3156.0,0.075402,0.1,2012/01/20 04:31,2012/01/20 00:00,2012/01/22 08:51,1970/01/01 00:00
9781096,169,151,239,205,536959,1353.0,0.073761,0.1,2012/01/21 07:34,2012/01/22 00:00,2012/01/23 08:54,1970/01/01 00:00
9710079,169,151,239,205,1151255,1302.0,0.075982,1.2,2012/01/13 07:27,1970/01/01 00:00,1970/01/01 00:00,2012/01/19 23:15
9685206,169,169,239,205,544245,6600.0,1.0,40.0,2012/01/10 15:22,2012/01/11 00:00,2012/01/11 08:49,1970/01/01 00:00
9789068,169,151,239,205,544245,2268.0,0.074088,1.0,2012/01/22 06:20,2012/01/22 00:00,2012/01/25 09:38,1970/01/01 00:00
9813425,169,169,239,205,544245,11550.0,1.0,91.0,2012/01/24 10:56,2012/01/24 00:00,2012/01/25 11:00,1970/01/01 00:00
9807801,169,100,133,205,1023600,1623.0,40.679077,400.0,2012/01/24 06:00,2012/01/24 00:00,2012/01/24 07:09,1970/01/01 00:00
9791168,169,100,133,205,1023600,1629.0,40.530041,400.0,2012/01/22 08:38,2012/01/22 00:00,2012/01/25 06:47,1970/01/01 00:00
9749202,169,169,239,205,539036,1650.0,1.0,10.0,2012/01/18 04:52,2012/01/18 00:00,2012/01/20 09:02,1970/01/01 00:00
9834889,169,100,133,205,544543,813.0,40.633713,200.0,2012/01/25 09:06,2012/01/25 00:00,2012/01/29 09:38,1970/01/01 00:00
9837894,169,151,239,205,546274,10053.0,0.072469,4.4,2012/01/25 10:14,1970/01/01 00:00,1970/01/01 00:00,2012/01/30 23:15
9525518,169,151,239,205,546274,10044.0,0.072275,4.4,2011/12/28 10:38,2011/12/28 00:00,2011/12/30 09:24,1970/01/01 00:00
9692520,169,151,239,205,1748793,3921.0,0.075747,0.1,2012/01/11 08:02,2012/01/11 00:00,2012/01/15 07:29,1970/01/01 00:00
9532465,169,169,239,205,543841,1650.0,1.0,10.0,2011/12/29 05:06,2011/12/29 00:00,2011/12/30 07:17,1970/01/01 00:00
9485444,169,169,239,205,544334,660.0,1.0,4.0,2011/12/26 12:40,1970/01/01 00:00,1970/01/01 00:00,2012/01/01 22:12
9496962,169,169,239,205,544334,1980.0,1.0,24.0,2011/12/27 07:49,2011/12/27 00:00,2011/12/27 09:23,1970/01/01 00:00
9574507,169,169,239,205,544334,1980.0,1.0,24.0,2011/12/31 09:52,2011/12/31 00:00,2011/12/31 11:00,1970/01/01 00:00
9519918,169,169,239,205,1717207,3300.0,1.0,40.0,2011/12/28 08:02,1970/01/01 00:00,1970/01/01 00:00,2011/12/28 08:07
9621980,169,169,239,205,990049,2640.0,1.0,32.0,2012/01/04 07:41,1970/01/01 00:00,1970/01/01 00:00,2012/01/09 22:15
9647355,169,169,239,205,544334,2970.0,1.0,18.0,2012/01/06 11:59,2012/01/06 00:00,2012/01/07 07:40,1970/01/01 00:00
9789756,169,169,239,205,544334,1650.0,1.0,10.0,2012/01/22 07:03,2012/01/22 00:00,2012/01/22 11:51,1970/01/01 00:00
9716669,169,100,133,205,1618355,1800.0,40.647191,443.42,2012/01/13 15:46,2012/01/13 00:00,2012/01/15 08:34,1970/01/01 00:00
